ci_high,ci_low,identity_count,mean,method,metric,n_id,n_obs,region,variant
16.706577245228242,15.686590775651036,20,16.22691685064554,adaptive,masked_psnr,384,1,head_foreground,capacity_s5_h512_20k
18.595402461092725,17.436404650113843,20,18.035807814159334,adaptive,masked_psnr,384,1,head_supported,capacity_s5_h512_20k
11.573364297832544,10.15791886751307,20,10.8431800130658,adaptive,masked_psnr,384,1,head_unsupported,capacity_s5_h512_20k
20.30156007396518,18.447526089442793,20,19.298690403867386,adaptive,masked_psnr,384,1,oral,capacity_s5_h512_20k
14.176339430622964,11.838184622241503,20,13.003038339457465,adaptive,masked_psnr,384,1,torso_outside_head_roi,capacity_s5_h512_20k
18.009528583091072,14.685433829223856,20,16.12134934063049,adaptive,masked_psnr,384,4,background,capacity_s5_h512_20k
20.87447469242323,19.872848204139014,20,20.337740090499516,adaptive,masked_psnr,384,4,eyes,capacity_s5_h512_20k
18.60378283154772,17.444544918165903,20,18.04526357945902,adaptive,masked_psnr,384,4,flame_supported,capacity_s5_h512_20k
12.242838274876183,10.581867534435446,20,11.414416000187353,adaptive,masked_psnr,384,4,flame_unsupported,capacity_s5_h512_20k
15.430152350641926,14.078627899751032,20,14.751165645836815,adaptive,masked_psnr,384,4,foreground,capacity_s5_h512_20k
15.44845336260582,14.241101682976332,20,14.84255659811679,adaptive,masked_psnr,384,4,full_frame,capacity_s5_h512_20k
16.92210462090843,15.894212562833046,20,16.422497523005198,adaptive,masked_psnr,384,4,head_foreground,capacity_s5_h512_20k
18.84596982058993,17.719666514459405,20,18.299988757359518,adaptive,masked_psnr,384,4,head_supported,capacity_s5_h512_20k
11.652332614847895,10.210759312259349,20,10.93377737130174,adaptive,masked_psnr,384,4,head_unsupported,capacity_s5_h512_20k
20.431747388892934,18.359239827074507,20,19.271291534376992,adaptive,masked_psnr,384,4,oral,capacity_s5_h512_20k
13.912850911696209,11.748243160366924,20,12.821365990987456,adaptive,masked_psnr,384,4,torso_outside_head_roi,capacity_s5_h512_20k
17.41536711335463,14.33252265812413,20,15.705608320763343,adaptive,masked_psnr,384,8,background,capacity_s5_h512_20k
20.674582072522565,19.685970311049314,20,20.1565072357131,adaptive,masked_psnr,384,8,eyes,capacity_s5_h512_20k
18.532697770474442,17.35699951118442,20,17.98164081707649,adaptive,masked_psnr,384,8,flame_supported,capacity_s5_h512_20k
12.36146813409418,10.715868725512506,20,11.540344454098975,adaptive,masked_psnr,384,8,flame_unsupported,capacity_s5_h512_20k
15.49164441555167,14.098909788327415,20,14.786957047780334,adaptive,masked_psnr,384,8,foreground,capacity_s5_h512_20k
15.385752733296211,14.121561482466971,20,14.743514679246903,adaptive,masked_psnr,384,8,full_frame,capacity_s5_h512_20k
16.88783673916937,15.912084941336625,20,16.409311266054555,adaptive,masked_psnr,384,8,head_foreground,capacity_s5_h512_20k
18.798098523979938,17.67902513313359,20,18.25483481192876,adaptive,masked_psnr,384,8,head_supported,capacity_s5_h512_20k
11.704815056978225,10.281805225888347,20,10.986342122095483,adaptive,masked_psnr,384,8,head_unsupported,capacity_s5_h512_20k
19.4785553769315,18.304547736371024,20,18.880553989328615,adaptive,masked_psnr,384,8,oral,capacity_s5_h512_20k
14.111777837945413,11.811723695361856,20,12.959628746251,adaptive,masked_psnr,384,8,torso_outside_head_roi,capacity_s5_h512_20k
20.55924284354345,16.899251716533378,20,18.65835270412656,hard,masked_psnr,384,1,background,capacity_s5_h512_20k
21.635180738833686,20.411368289474954,20,21.003042975725116,hard,masked_psnr,384,1,eyes,capacity_s5_h512_20k
17.907999176403024,16.877590095603036,20,17.393110213838277,hard,masked_psnr,384,1,flame_supported,capacity_s5_h512_20k
5.555395361134938,3.40082767232865,20,4.418764074381249,hard,masked_psnr,384,1,flame_unsupported,capacity_s5_h512_20k
10.50378733307278,8.309538214562147,20,9.323840850978485,hard,masked_psnr,384,1,foreground,capacity_s5_h512_20k
12.421119357433424,10.371173674754585,20,11.353879022946668,hard,masked_psnr,384,1,full_frame,capacity_s5_h512_20k
14.799370187769252,12.70014351023609,20,13.755247482775712,hard,masked_psnr,384,1,head_foreground,capacity_s5_h512_20k
19.05685030333366,18.197304036962667,20,18.62443252914082,hard,masked_psnr,384,1,head_supported,capacity_s5_h512_20k
6.745616420764839,4.767040497700437,20,5.714636043279401,hard,masked_psnr,384,1,head_unsupported,capacity_s5_h512_20k
21.286004438355153,19.793270358857978,20,20.463949754506363,hard,masked_psnr,384,1,oral,capacity_s5_h512_20k
