ci_high,ci_low,identity_count,mean,mean_offset_mm,method,metric,n_id,n_obs,region,release_radius_mm,variant
18.525359129776803,14.121422805825198,20,16.08374733648811,29.787905645370483,released,masked_psnr,128,8,background,150.0,primary_s5_h128_20k
21.12223272267501,20.060849262607054,20,20.56828382742669,29.787905645370483,released,masked_psnr,128,8,eyes,150.0,primary_s5_h128_20k
18.31970539636108,17.250256450694177,20,17.786232316834944,29.787905645370483,released,masked_psnr,128,8,flame_supported,150.0,primary_s5_h128_20k
11.745416942590492,10.05282257796012,20,10.90458407374425,29.787905645370483,released,masked_psnr,128,8,flame_unsupported,150.0,primary_s5_h128_20k
15.017353957631244,13.659899329022387,20,14.336593092081241,29.787905645370483,released,masked_psnr,128,8,foreground,150.0,primary_s5_h128_20k
15.129632712620923,13.698749502076355,20,14.38875873232873,29.787905645370483,released,masked_psnr,128,8,full_frame,150.0,primary_s5_h128_20k
16.746857437951302,15.572687627445795,20,16.171664988657582,29.787905645370483,released,masked_psnr,128,8,head_foreground,150.0,primary_s5_h128_20k
18.660778647196942,17.605017176665296,20,18.13312667739904,29.787905645370483,released,masked_psnr,128,8,head_supported,150.0,primary_s5_h128_20k
11.312479100509224,9.818896246919728,20,10.576119196201159,29.787905645370483,released,masked_psnr,128,8,head_unsupported,150.0,primary_s5_h128_20k
20.34542402542555,19.25668389800858,20,19.776418898009506,29.787905645370483,released,masked_psnr,128,8,oral,150.0,primary_s5_h128_20k
13.055034098655756,11.190658760621792,20,12.122715090915019,29.787905645370483,released,masked_psnr,128,8,torso_outside_head_roi,150.0,primary_s5_h128_20k
17.974997164520488,15.007940278284977,20,16.436598882779627,33.51536142031351,released,masked_psnr,384,1,background,150.0,primary_s5_h128_20k
21.20409112864194,20.292877658857023,20,20.722721789490482,33.51536142031351,released,masked_psnr,384,1,eyes,150.0,primary_s5_h128_20k
18.03171941347992,16.953354204045183,20,17.48329301495029,33.51536142031351,released,masked_psnr,384,1,flame_supported,150.0,primary_s5_h128_20k
12.19154013530051,10.339870451600296,20,11.274059717635403,33.51536142031351,released,masked_psnr,384,1,flame_unsupported,150.0,primary_s5_h128_20k
15.176438048798573,13.798783657536578,20,14.4681305514106,33.51536142031351,released,masked_psnr,384,1,foreground,150.0,primary_s5_h128_20k
15.346650639329843,14.1818374699163,20,14.761672138165915,33.51536142031351,released,masked_psnr,384,1,full_frame,150.0,primary_s5_h128_20k
16.54200195410227,15.444181916607619,20,16.010323233165234,33.51536142031351,released,masked_psnr,384,1,head_foreground,150.0,primary_s5_h128_20k
18.343930429350447,17.26911990361655,20,17.806782431705805,33.51536142031351,released,masked_psnr,384,1,head_supported,150.0,primary_s5_h128_20k
11.461112118465946,9.92184018251373,20,10.676458119418335,33.51536142031351,released,masked_psnr,384,1,head_unsupported,150.0,primary_s5_h128_20k
20.813979890445477,19.125874926100682,20,19.899074346381067,33.51536142031351,released,masked_psnr,384,1,oral,150.0,primary_s5_h128_20k
13.634166101753719,11.54387434016266,20,12.593828805802993,33.51536142031351,released,masked_psnr,384,1,torso_outside_head_roi,150.0,primary_s5_h128_20k
17.641165902996104,14.63021385194702,20,16.021335596477343,32.340271647771196,released,masked_psnr,384,4,background,150.0,primary_s5_h128_20k
