change_in_released_advantage,ci_high,ci_low,control_variant,identity_count,metric,n_id,n_obs,reference_variant,region
-0.11335159285112714,-0.0020922504238836005,-0.22860213456410705,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,flame_supported
-0.13824155451833173,0.03247187970463244,-0.3392845843568204,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,flame_unsupported
-0.1103329840632064,0.02012536117176488,-0.2509373802694066,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,foreground
-0.0811970112573142,0.01746816360997543,-0.18744295348614431,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,full_frame
-0.08923437720863951,0.036846475044989044,-0.20579709255219608,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,head_foreground
-0.08630164091703633,0.014047358508019948,-0.1832783928708558,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,head_supported
-0.12569639509570157,0.12548962562536425,-0.3723851260209773,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,head_unsupported
0.16161168853742733,0.30174927914048405,-0.0004584080529655337,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,oral
-0.14945970133629974,0.061287611120752594,-0.39260720567918206,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,torso_outside_head_roi
0.1340026821996621,0.3975467084050112,-0.10971752883471277,capacity_s5_h64_20k,20,masked_psnr,8,4,primary_s5_h128_20k,background
0.18809541959334064,0.5710384161536841,-0.16515763397494734,capacity_s5_h64_20k,20,masked_psnr,8,4,primary_s5_h128_20k,eyes
-0.22150480425188485,-0.05488860537762827,-0.40154601421801683,capacity_s5_h64_20k,20,masked_psnr,8,4,primary_s5_h128_20k,flame_supported
-0.062092656859497386,0.03919440744421865,-0.17608157434673236,capacity_s5_h64_20k,20,masked_psnr,8,4,primary_s5_h128_20k,flame_unsupported
-0.09812526661937197,0.0018927823747908708,-0.20440523743035496,capacity_s5_h64_20k,20,masked_psnr,8,4,primary_s5_h128_20k,foreground
-0.04606934446803832,0.03972557708137876,-0.13174702207160693,capacity_s5_h64_20k,20,masked_psnr,8,4,primary_s5_h128_20k,full_frame
-0.19426089700302046,-0.07150858799711678,-0.3157094690131675,capacity_s5_h64_20k,20,masked_psnr,8,4,primary_s5_h128_20k,head_foreground
-0.1884408570718871,-0.05097449431615244,-0.3396076866241512,capacity_s5_h64_20k,20,masked_psnr,8,4,primary_s5_h128_20k,head_supported
