run_id,stage,split_id,method,g_state,c_state,a_state,p_state,n_id,n_obs,capacity,seed,status
run_db1a12830321,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,4,M,2,planned
run_e9aab7c41d02,observation,nested_observations_v0,free,free,free,free,selfcal,128,4,M,0,planned
run_a7a88395727a,observation,nested_observations_v0,free,free,free,free,selfcal,128,4,M,1,planned
run_4fa2cc7f0102,observation,nested_observations_v0,free,free,free,free,selfcal,128,4,M,2,planned
run_b993b324a27d,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,4,M,0,planned
run_0bc4acfa5d49,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,4,M,1,planned
run_2f26dbb2364b,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,4,M,2,planned
run_bbcc8bd4321e,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,16,M,0,planned
run_5d9a3ba211f5,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,16,M,1,planned
run_e139a9fea8d2,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,16,M,2,planned
run_c3672a56161a,observation,nested_observations_v0,free,free,free,free,selfcal,128,16,M,0,planned
run_4f625ea280df,observation,nested_observations_v0,free,free,free,free,selfcal,128,16,M,1,planned
run_647f08cb53e7,observation,nested_observations_v0,free,free,free,free,selfcal,128,16,M,2,planned
run_8a9efdeb0151,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,M,0,planned
run_9ef5fddf1e78,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,M,1,planned
run_7c032210bace,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,16,M,2,planned
run_ed3615208b6c,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,64,M,0,planned
run_c1b44ae91bd3,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,64,M,1,planned
run_63f0e740c19c,observation,nested_observations_v0,hard,hard,hard,hard,hard,128,64,M,2,planned
run_f62cff3c4ca5,observation,nested_observations_v0,free,free,free,free,selfcal,128,64,M,0,planned
run_b45c87f3e424,observation,nested_observations_v0,free,free,free,free,selfcal,128,64,M,1,planned
run_2305dcc719b3,observation,nested_observations_v0,free,free,free,free,selfcal,128,64,M,2,planned
run_8d24e59c4ab8,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,64,M,0,planned
run_f98c39d33c30,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,64,M,1,planned
run_af735ffac296,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,128,64,M,2,planned
run_26eddba7bb2f,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,1,M,0,planned
run_d67b79970cdf,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,1,M,1,planned
run_50949b34f1e9,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,1,M,2,planned
run_af08b6b6f98a,observation,nested_observations_v0,free,free,free,free,selfcal,2048,1,M,0,planned
run_af4a28068468,observation,nested_observations_v0,free,free,free,free,selfcal,2048,1,M,1,planned
run_61192b1f39ea,observation,nested_observations_v0,free,free,free,free,selfcal,2048,1,M,2,planned
run_7edcbc524fc0,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,1,M,0,planned
run_83a4b08920cd,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,1,M,1,planned
run_dbd989dc13ed,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,1,M,2,planned
run_53734cde2587,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,4,M,0,planned
run_cf5d4cf40814,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,4,M,1,planned
run_2c31c6351636,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,4,M,2,planned
run_ba43fe1cadae,observation,nested_observations_v0,free,free,free,free,selfcal,2048,4,M,0,planned
run_2c51b43408c2,observation,nested_observations_v0,free,free,free,free,selfcal,2048,4,M,1,planned
run_386d599909ad,observation,nested_observations_v0,free,free,free,free,selfcal,2048,4,M,2,planned
run_b55ea10feddb,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,4,M,0,planned
run_1fb33ad7d9aa,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,4,M,1,planned
run_f886686e0823,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,4,M,2,planned
run_f2996ee504ef,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,16,M,0,planned
run_b449d45a23c7,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,16,M,1,planned
run_85ed62e70504,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,16,M,2,planned
run_2c34154ff758,observation,nested_observations_v0,free,free,free,free,selfcal,2048,16,M,0,planned
run_4decd97df32a,observation,nested_observations_v0,free,free,free,free,selfcal,2048,16,M,1,planned
run_51113206dfc7,observation,nested_observations_v0,free,free,free,free,selfcal,2048,16,M,2,planned
run_5cc55e2b8110,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,M,0,planned
run_0f8fca4d1fe2,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,M,1,planned
run_f2a059035ace,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,16,M,2,planned
run_289f489b6d62,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,64,M,0,planned
run_b5af5dc2cf7e,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,64,M,1,planned
run_ccdedb941879,observation,nested_observations_v0,hard,hard,hard,hard,hard,2048,64,M,2,planned
run_222d6cfbd217,observation,nested_observations_v0,free,free,free,free,selfcal,2048,64,M,0,planned
run_6093871bcf35,observation,nested_observations_v0,free,free,free,free,selfcal,2048,64,M,1,planned
run_d4d30c895e08,observation,nested_observations_v0,free,free,free,free,selfcal,2048,64,M,2,planned
run_f8a2751e054b,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,64,M,0,planned
run_a0cb8beb9969,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,64,M,1,planned
run_5377924ec175,observation,nested_observations_v0,apr,adaptive,adaptive,adaptive,adaptive,2048,64,M,2,planned
run_782c96791cc8,role,role_anchors_v0,hard,hard,hard,hard,hard,32,16,M,0,planned
run_5ddb8fcb3d33,role,role_anchors_v0,hard,hard,hard,hard,hard,32,16,M,1,planned
run_61872c3d0683,role,role_anchors_v0,hard,hard,hard,hard,hard,32,16,M,2,planned
run_c2d6d6803e0d,role,role_anchors_v0,release_g,free,hard,hard,hard,32,16,M,0,planned
run_431510042fa0,role,role_anchors_v0,release_g,free,hard,hard,hard,32,16,M,1,planned
run_182b44d8525a,role,role_anchors_v0,release_g,free,hard,hard,hard,32,16,M,2,planned
run_feed60fb5014,role,role_anchors_v0,release_c,hard,free,hard,hard,32,16,M,0,planned
run_7d03d9abe22a,role,role_anchors_v0,release_c,hard,free,hard,hard,32,16,M,1,planned
run_5b036058fc8f,role,role_anchors_v0,release_c,hard,free,hard,hard,32,16,M,2,planned
run_29f5d31092d2,role,role_anchors_v0,release_a,hard,hard,free,hard,32,16,M,0,planned
run_21aee49fc041,role,role_anchors_v0,release_a,hard,hard,free,hard,32,16,M,1,planned
run_27e5f10660cb,role,role_anchors_v0,release_a,hard,hard,free,hard,32,16,M,2,planned
run_bcbfce9a90a9,role,role_anchors_v0,release_p,hard,hard,hard,selfcal,32,16,M,0,planned
run_4ac3e661b510,role,role_anchors_v0,release_p,hard,hard,hard,selfcal,32,16,M,1,planned
run_51dead38d26a,role,role_anchors_v0,release_p,hard,hard,hard,selfcal,32,16,M,2,planned
run_9bed6b967944,role,role_anchors_v0,release_gc,free,free,hard,hard,32,16,M,0,planned
run_c8b268a26ea0,role,role_anchors_v0,release_gc,free,free,hard,hard,32,16,M,1,planned
run_09a60568ffdf,role,role_anchors_v0,release_gc,free,free,hard,hard,32,16,M,2,planned
run_8569b7e057f4,role,role_anchors_v0,release_ga,free,hard,free,hard,32,16,M,0,planned
run_a8a6d9660c8f,role,role_anchors_v0,release_ga,free,hard,free,hard,32,16,M,1,planned
run_6500f77f0ffb,role,role_anchors_v0,release_ga,free,hard,free,hard,32,16,M,2,planned
run_f28f7c9a386b,role,role_anchors_v0,release_ap,hard,hard,free,selfcal,32,16,M,0,planned
run_be60c3ef6d46,role,role_anchors_v0,release_ap,hard,hard,free,selfcal,32,16,M,1,planned
run_84062ff1de51,role,role_anchors_v0,release_ap,hard,hard,free,selfcal,32,16,M,2,planned
run_70abc5de8c06,role,role_anchors_v0,free,free,free,free,selfcal,32,16,M,0,planned
run_44616f9fff8d,role,role_anchors_v0,free,free,free,free,selfcal,32,16,M,1,planned
run_3b156cdccdb4,role,role_anchors_v0,free,free,free,free,selfcal,32,16,M,2,planned
run_9b6d5d9464f7,role,role_anchors_v0,hard,hard,hard,hard,hard,512,16,M,0,planned
run_c647c9eae3b1,role,role_anchors_v0,hard,hard,hard,hard,hard,512,16,M,1,planned
run_48c0f6be8405,role,role_anchors_v0,hard,hard,hard,hard,hard,512,16,M,2,planned
run_e4f924730b96,role,role_anchors_v0,release_g,free,hard,hard,hard,512,16,M,0,planned
run_a131e0441fce,role,role_anchors_v0,release_g,free,hard,hard,hard,512,16,M,1,planned
run_91415c47fb67,role,role_anchors_v0,release_g,free,hard,hard,hard,512,16,M,2,planned
run_9ece49b628a8,role,role_anchors_v0,release_c,hard,free,hard,hard,512,16,M,0,planned
run_7f3d14ccf545,role,role_anchors_v0,release_c,hard,free,hard,hard,512,16,M,1,planned
run_b79c7ac091d5,role,role_anchors_v0,release_c,hard,free,hard,hard,512,16,M,2,planned
run_2bc11f8ca879,role,role_anchors_v0,release_a,hard,hard,free,hard,512,16,M,0,planned
run_7a32f510ed35,role,role_anchors_v0,release_a,hard,hard,free,hard,512,16,M,1,planned
run_495dac9606cf,role,role_anchors_v0,release_a,hard,hard,free,hard,512,16,M,2,planned
run_3dc3985bc48a,role,role_anchors_v0,release_p,hard,hard,hard,selfcal,512,16,M,0,planned
run_6f0ca99741d3,role,role_anchors_v0,release_p,hard,hard,hard,selfcal,512,16,M,1,planned
run_ca07021be6dd,role,role_anchors_v0,release_p,hard,hard,hard,selfcal,512,16,M,2,planned
run_32c76ad836dc,role,role_anchors_v0,release_gc,free,free,hard,hard,512,16,M,0,planned
run_992800b3da8e,role,role_anchors_v0,release_gc,free,free,hard,hard,512,16,M,1,planned
run_eb22ab33cab6,role,role_anchors_v0,release_gc,free,free,hard,hard,512,16,M,2,planned
run_1c9e66cf63e1,role,role_anchors_v0,release_ga,free,hard,free,hard,512,16,M,0,planned
run_d7b05bcee5e8,role,role_anchors_v0,release_ga,free,hard,free,hard,512,16,M,1,planned
run_7658cf00cca5,role,role_anchors_v0,release_ga,free,hard,free,hard,512,16,M,2,planned
run_cf610de3e3f7,role,role_anchors_v0,release_ap,hard,hard,free,selfcal,512,16,M,0,planned
run_56f10edae724,role,role_anchors_v0,release_ap,hard,hard,free,selfcal,512,16,M,1,planned
run_0995417c2b0d,role,role_anchors_v0,release_ap,hard,hard,free,selfcal,512,16,M,2,planned
run_9a12bf9006f7,role,role_anchors_v0,free,free,free,free,selfcal,512,16,M,0,planned
run_0ef5fa18d176,role,role_anchors_v0,free,free,free,free,selfcal,512,16,M,1,planned
run_385d9b666338,role,role_anchors_v0,free,free,free,free,selfcal,512,16,M,2,planned
run_95e7a0765b5a,role,role_anchors_v0,hard,hard,hard,hard,hard,2048,16,M,0,planned
run_ab472c3235ab,role,role_anchors_v0,hard,hard,hard,hard,hard,2048,16,M,1,planned
run_740349b85db5,role,role_anchors_v0,hard,hard,hard,hard,hard,2048,16,M,2,planned
run_c6b5ffc1c02e,role,role_anchors_v0,release_g,free,hard,hard,hard,2048,16,M,0,planned
run_fb12fd5cdc03,role,role_anchors_v0,release_g,free,hard,hard,hard,2048,16,M,1,planned
run_b4747a7fe690,role,role_anchors_v0,release_g,free,hard,hard,hard,2048,16,M,2,planned
run_4b9cf712aaeb,role,role_anchors_v0,release_c,hard,free,hard,hard,2048,16,M,0,planned
run_fca967d78971,role,role_anchors_v0,release_c,hard,free,hard,hard,2048,16,M,1,planned
run_17f1e6db993d,role,role_anchors_v0,release_c,hard,free,hard,hard,2048,16,M,2,planned
run_b5ed873f101b,role,role_anchors_v0,release_a,hard,hard,free,hard,2048,16,M,0,planned
run_c5b344873430,role,role_anchors_v0,release_a,hard,hard,free,hard,2048,16,M,1,planned
run_4a51ec92be97,role,role_anchors_v0,release_a,hard,hard,free,hard,2048,16,M,2,planned
run_761e88152b2b,role,role_anchors_v0,release_p,hard,hard,hard,selfcal,2048,16,M,0,planned
run_b008639ad728,role,role_anchors_v0,release_p,hard,hard,hard,selfcal,2048,16,M,1,planned
run_3e01ded982fd,role,role_anchors_v0,release_p,hard,hard,hard,selfcal,2048,16,M,2,planned
run_1001c78fc7fc,role,role_anchors_v0,release_gc,free,free,hard,hard,2048,16,M,0,planned
run_3bf24322afbe,role,role_anchors_v0,release_gc,free,free,hard,hard,2048,16,M,1,planned
run_55a0a904727a,role,role_anchors_v0,release_gc,free,free,hard,hard,2048,16,M,2,planned
run_123d91e6cffc,role,role_anchors_v0,release_ga,free,hard,free,hard,2048,16,M,0,planned
run_db8f6f90f67e,role,role_anchors_v0,release_ga,free,hard,free,hard,2048,16,M,1,planned
run_f9943081fdd9,role,role_anchors_v0,release_ga,free,hard,free,hard,2048,16,M,2,planned
run_607f4089f450,role,role_anchors_v0,release_ap,hard,hard,free,selfcal,2048,16,M,0,planned
run_d40b1bc6447f,role,role_anchors_v0,release_ap,hard,hard,free,selfcal,2048,16,M,1,planned
run_704fc46c114a,role,role_anchors_v0,release_ap,hard,hard,free,selfcal,2048,16,M,2,planned
run_6a87124c5907,role,role_anchors_v0,free,free,free,free,selfcal,2048,16,M,0,planned
run_bf0cf30d72a6,role,role_anchors_v0,free,free,free,free,selfcal,2048,16,M,1,planned
run_fb293f785fc9,role,role_anchors_v0,free,free,free,free,selfcal,2048,16,M,2,planned
