camera_count,lpips_alex_spatial,masked_mae,masked_psnr,method,n_id,n_obs,pixel_count_mean,region,seed,source,ssim,subject,variant
7,0.24430248896018342,0.07809167966809628,20.280683926102963,adaptive,128,8,79.14285714285714,eyes,0,ordinary,,123,primary_full_target_density1
7,0.20662222074643474,0.056646688075527245,15.434631290572453,adaptive,128,8,4845.857142857143,background,0,ordinary,,123,primary_full_target_density1
14,0.2263793829199556,0.10571122737157913,13.136777686983683,adaptive,128,1,11264.0,full_frame,0,ordinary,0.6313809624740055,133,primary_full_target_density1
14,0.2951651653790541,0.20154612128024266,10.477534906206666,adaptive,128,1,5284.785714285715,foreground,0,ordinary,,133,primary_full_target_density1
14,0.2747383083947657,0.12696467561278107,15.390535877730068,adaptive,128,1,4128.857142857143,flame_supported,0,ordinary,,133,primary_full_target_density1
14,0.35196663421709096,0.43985399183510304,5.594191378710611,adaptive,128,1,1155.9285714285713,flame_unsupported,0,ordinary,,133,primary_full_target_density1
14,0.1935588745163406,0.07687599733996324,19.351658549054854,adaptive,128,1,159.85714285714286,oral,0,ordinary,,133,primary_full_target_density1
14,0.17244409272319813,0.06786651933742835,21.48831659735009,adaptive,128,1,76.78571428571429,eyes,0,ordinary,,133,primary_full_target_density1
14,0.15913101723794365,0.02086023022867991,22.336342957876735,adaptive,128,1,5979.214285714285,background,0,ordinary,,133,primary_full_target_density1
11,0.23483107109700355,0.09693829941027093,13.180104629152043,adaptive,128,4,11264.0,full_frame,0,ordinary,0.634579290043224,133,primary_full_target_density1
11,0.30339514440682547,0.1774970787050215,10.911818662560632,adaptive,128,4,5343.909090909091,foreground,0,ordinary,,133,primary_full_target_density1
11,0.2779022358699768,0.09372603627559216,17.4626603653166,adaptive,128,4,4141.181818181818,flame_supported,0,ordinary,,133,primary_full_target_density1
11,0.37250827622059823,0.4353065554133683,5.564159360275474,adaptive,128,4,1202.7272727272727,flame_unsupported,0,ordinary,,133,primary_full_target_density1
11,0.20353012981592622,0.07763181559983319,19.4702844292978,adaptive,128,4,161.0,oral,0,ordinary,,133,primary_full_target_density1
11,0.1667211322060147,0.07557016226797733,20.880192331303423,adaptive,128,4,76.45454545454545,eyes,0,ordinary,,133,primary_full_target_density1
11,0.16579740636724252,0.026101605990322095,20.36377172108514,adaptive,128,4,5920.090909090909,background,0,ordinary,,133,primary_full_target_density1
7,0.2099294105133453,0.08724201190007198,13.66705987778958,adaptive,128,8,11264.0,full_frame,0,ordinary,0.6599466970988682,133,primary_full_target_density1
7,0.2835849027251901,0.17017120660276167,11.278274033526897,adaptive,128,8,5111.714285714285,foreground,0,ordinary,,133,primary_full_target_density1
7,0.2608492303550101,0.09026487973435703,17.84132403792621,adaptive,128,8,4003.0,flame_supported,0,ordinary,,133,primary_full_target_density1
7,0.3412932254097018,0.40970608295399863,6.088836042574734,adaptive,128,8,1108.7142857142858,flame_unsupported,0,ordinary,,133,primary_full_target_density1
7,0.19825362154352374,0.07658023238615279,19.529151446463477,adaptive,128,8,159.28571428571428,oral,0,ordinary,,133,primary_full_target_density1
7,0.15632245128364644,0.07301991354437258,21.165738777673962,adaptive,128,8,75.85714285714286,eyes,0,ordinary,,133,primary_full_target_density1
7,0.1461401695214317,0.018632115799939727,20.94353656632099,adaptive,128,8,6152.285714285715,background,0,ordinary,,133,primary_full_target_density1
14,0.34212269566275844,0.10022378380680497,14.142688507932915,adaptive,128,1,11264.0,full_frame,0,ordinary,0.45803896869931904,139,primary_full_target_density1
14,0.4102285869661118,0.10614052703040455,15.231208437271343,adaptive,128,1,7113.285714285715,foreground,0,ordinary,,139,primary_full_target_density1
14,0.3753836473154151,0.08943091945825973,17.33677020375629,adaptive,128,1,5074.285714285715,flame_supported,0,ordinary,,139,primary_full_target_density1
14,0.48996885251258654,0.14859332390339614,12.376363697997771,adaptive,128,1,2039.0,flame_unsupported,0,ordinary,,139,primary_full_target_density1
14,0.3473787402151055,0.10950388404877268,17.08066716483045,adaptive,128,1,317.64285714285717,oral,0,ordinary,,139,primary_full_target_density1
14,0.23020501677136512,0.051867716367592014,23.52294989668938,adaptive,128,1,83.64285714285714,eyes,0,ordinary,,139,primary_full_target_density1
14,0.2286245847864789,0.09015380955752701,12.809501673302977,adaptive,128,1,4150.714285714285,background,0,ordinary,,139,primary_full_target_density1
