change_in_comparison_advantage,ci_high,ci_low,comparison,control_variant,identity_count,metric,n_id,n_obs,reference_variant,region
0.7180881688365452,1.210287866410894,0.22985266740241855,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,head_foreground
0.6808055325369674,1.0574840867915192,0.2890913872783595,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,head_foreground
1.8000053165193464,2.3465716356208395,1.261662077001536,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,head_supported
1.6210521475213313,2.070476789525179,1.1810474410963512,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,head_supported
-0.49683048591093976,0.2257321095675997,-1.545332729345638,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,head_unsupported
-0.30035181266855426,0.20916038438966342,-0.9569582445046433,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,head_unsupported
0.9910967044399037,1.3721793464876244,0.6085241216901381,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,oral
0.6036245111692224,0.9355145842157638,0.28915049566997764,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,oral
-3.0591556641009117,-1.9943408317565996,-4.0651673511603565,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,torso_outside_head_roi
-2.9691916173911292,-2.013038023643566,-3.8910236866536443,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,torso_outside_head_roi
1.7682184287374703,3.042440967231035,0.34593660520265274,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,background
2.398986911163311,3.44169355074181,1.5224468338224102,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,background
0.23314045632493538,0.5104400993862768,-0.03787191153823387,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,eyes
0.9484634139152023,1.3500562151244175,0.5590909311841192,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,eyes
-1.6043821030060408,-0.8077517907605759,-2.3903382532735535,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,flame_supported
-1.4819291914030814,-0.6544501269990467,-2.31346885243832,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,flame_supported
-5.234036309977043,-3.8783377592749124,-6.535894038786456,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,flame_unsupported
-5.816054586130898,-4.4926213260520615,-7.074856382150188,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,flame_unsupported
-4.145680783854472,-3.0282969542357243,-5.2020150784636305,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,foreground
-4.506621293719205,-3.4195320812264245,-5.550456725066168,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,foreground
-2.5300658211231815,-1.7094402802011728,-3.3487996413888026,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,full_frame
-2.829032295131421,-1.9393939330864138,-3.683557910904886,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,full_frame
0.8461096166719895,1.1999630512070196,0.4969333129910746,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,head_foreground
0.8343153681581263,1.2203301646513742,0.4418149831039454,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,head_foreground
1.0921480567608526,1.3878226180052917,0.7870731305964654,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,head_supported
1.17900598872903,1.4614688281370565,0.9111161450780795,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,head_supported
0.009498257357242811,1.0524405517135438,-1.2140306861651704,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,head_unsupported
-0.066529616824119,0.8323472238570935,-1.0668871566455909,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,head_unsupported
0.5795179380096606,0.8514587703492666,0.3119636799384173,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,oral
0.6433037985191292,0.8414821383941312,0.4645096944743153,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,oral
-6.837581982044699,-5.336382505397407,-8.254375694073978,adaptive,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,torso_outside_head_roi
-7.351755123799352,-5.838379015096009,-8.795487047776865,released,head_target_density1,20,masked_psnr,384,1,primary_full_target_density1,torso_outside_head_roi
1.550747746777357,3.0093051207848016,-0.3424797236279448,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,background
2.821649646027963,3.97586169681574,1.903991461864838,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,background
0.5940243288924609,0.8729726862913564,0.33290239501591995,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,eyes
1.0203613018931894,1.504212089467351,0.5499970052589414,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,eyes
-1.7138839538869746,-0.9169564237534907,-2.5102677158284146,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,flame_supported
-1.7401117100254944,-0.8853510602471771,-2.619842301862616,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,flame_supported
-5.221282407505713,-3.9367184377838407,-6.524211285753349,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,flame_unsupported
-5.772197117846309,-4.417778586310721,-7.042454974722331,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,flame_unsupported
-4.198559421314206,-3.116529256469163,-5.221141262179336,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,foreground
-4.612163468833066,-3.4961721386925486,-5.683205238058198,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,foreground
-2.56221421947221,-1.8416846493881285,-3.2862525940470455,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,full_frame
-2.804507549816898,-2.013123404034353,-3.597775982230324,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,full_frame
0.7672714510017135,1.1604656121756187,0.36987770128727576,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,head_foreground
0.877383119699035,1.2786732700743089,0.4663941861047577,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,head_foreground
1.381307038746736,1.7032910100940903,1.0826785839908337,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,head_supported
1.4683365165868374,1.8024791217685787,1.149447521969841,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,head_supported
-0.407731022480621,0.6768243930461338,-1.6649553537356028,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,head_unsupported
-0.20180216753424088,0.6095743824462143,-1.1076692653167015,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,head_unsupported
0.7859984570754743,1.14301046385755,0.41396027187684903,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,oral
0.772402194572865,1.0692569344651794,0.4903492305250452,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,oral
-6.787410110051818,-5.413910331757097,-8.110707279457769,adaptive,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,torso_outside_head_roi
-7.286743967027645,-5.825210850507107,-8.688658199562429,released,head_target_density1,20,masked_psnr,384,4,primary_full_target_density1,torso_outside_head_roi
1.33534596514268,2.7607077940276032,-0.586246479772485,adaptive,head_target_density1,20,masked_psnr,384,8,primary_full_target_density1,background
2.540542423599395,3.7504932707079064,1.5065993823462305,released,head_target_density1,20,masked_psnr,384,8,primary_full_target_density1,background
0.47714019155175863,0.7637180294660683,0.20506211900704038,adaptive,head_target_density1,20,masked_psnr,384,8,primary_full_target_density1,eyes
0.9529530101831103,1.3531782792617684,0.57970983827392,released,head_target_density1,20,masked_psnr,384,8,primary_full_target_density1,eyes
-1.7968712937052316,-0.9256403814548304,-2.6764357811589132,adaptive,head_target_density1,20,masked_psnr,384,8,primary_full_target_density1,flame_supported
-1.7393578586899536,-0.8099558486825759,-2.663477312456155,released,head_target_density1,20,masked_psnr,384,8,primary_full_target_density1,flame_supported
-5.382434796672458,-4.087682558120639,-6.641034701551538,adaptive,head_target_density1,20,masked_psnr,384,8,primary_full_target_density1,flame_unsupported
-5.977219378847546,-4.683026594071321,-7.21325858055063,released,head_target_density1,20,masked_psnr,384,8,primary_full_target_density1,flame_unsupported
