ci_high,ci_low,control_minus_reference_mean,control_variant,geometry_metric,identity_count,method,n_id,n_obs,reference_variant
0.0,0.0,0.0,full_target_density2,eye_slots_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,eye_slots_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,eye_slots_offset_mean_mm,20,hard,384,8,primary_full_target_density1
2.9022791548569997,1.487726128498713,2.2318230470021563,full_target_density2,eye_slots_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
2.716561609506607,1.107646609346072,1.9558581749598183,full_target_density2,eye_slots_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
2.7349042864640554,1.3124374244610468,2.0610762357711794,full_target_density2,eye_slots_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
1.9409365963935845,0.8907325132687888,1.4110109806060787,full_target_density2,eye_slots_offset_mean_mm,20,released,384,1,primary_full_target_density1
2.2857246565818787,0.9260862990220391,1.6170228163401283,full_target_density2,eye_slots_offset_mean_mm,20,released,384,4,primary_full_target_density1
2.370749855836233,1.0779883690675105,1.7416234652201337,full_target_density2,eye_slots_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,face_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,face_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,face_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-6.888901894092561,-11.578546775579452,-9.07768832842509,head_target_density1,face_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-5.736920491854351,-9.321954026619595,-7.550107622146607,head_target_density1,face_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
-5.743810819387438,-9.293114009300865,-7.512327003479004,head_target_density1,face_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-3.4209343643983208,-6.401541295051573,-4.906205097834269,head_target_density1,face_offset_mean_mm,20,released,8,1,primary_full_target_density1
-2.920881178379059,-5.660301787455878,-4.261853774388631,head_target_density1,face_offset_mean_mm,20,released,8,4,primary_full_target_density1
-3.0695815086364746,-5.4179689995447795,-4.211685244242351,head_target_density1,face_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,face_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,face_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,face_offset_mean_mm,20,hard,384,8,primary_full_target_density1
-4.563172223567964,-7.955152300198873,-6.350938447316487,head_target_density1,face_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
-4.4435867468516035,-8.173888379732766,-6.379827547073363,head_target_density1,face_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
-4.348751452763876,-7.700178674062094,-6.089946365356445,head_target_density1,face_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
-5.361038095951081,-9.028132071892422,-7.244408257802327,head_target_density1,face_offset_mean_mm,20,released,384,1,primary_full_target_density1
-5.812834157943726,-9.89934951663017,-7.90339986483256,head_target_density1,face_offset_mean_mm,20,released,384,4,primary_full_target_density1
-5.72512668410937,-9.603207950989406,-7.719280544916789,head_target_density1,face_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,face_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,face_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,face_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-4.801221810181935,-9.752619472742081,-7.073850202560425,full_target_density2,face_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-4.520616801977161,-8.488160744905473,-6.433214426040649,full_target_density2,face_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
-4.458308651844662,-8.355359251499175,-6.301032845179241,full_target_density2,face_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-2.5195386226971954,-4.6618626689910885,-3.626973899205526,full_target_density2,face_offset_mean_mm,20,released,8,1,primary_full_target_density1
-2.2517749238014217,-4.074928600390752,-3.136871862411499,full_target_density2,face_offset_mean_mm,20,released,8,4,primary_full_target_density1
-2.276154927810033,-3.8510569123427065,-3.0114578564961745,full_target_density2,face_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,face_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,face_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,face_offset_mean_mm,20,hard,384,8,primary_full_target_density1
-3.8279268622398384,-7.25782814304034,-5.643476454416911,full_target_density2,face_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
-3.8080053404967,-7.630333424806595,-5.806127325693767,full_target_density2,face_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
-3.536565073331197,-7.13592658718427,-5.434221569697062,full_target_density2,face_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
-4.307596632639568,-7.405792880058289,-5.928493054707844,full_target_density2,face_offset_mean_mm,20,released,384,1,primary_full_target_density1
-3.6560305150349937,-7.132226500113806,-5.472002426783243,full_target_density2,face_offset_mean_mm,20,released,384,4,primary_full_target_density1
-3.4745410680770887,-6.838035746415456,-5.220967435836792,full_target_density2,face_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,neck_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,neck_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,neck_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-59.89457622528075,-82.74178922216099,-71.34905325571695,head_target_density1,neck_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-59.957889277935024,-80.95348717848461,-70.56917915344239,head_target_density1,neck_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
-60.128680386543266,-81.23983288685481,-70.59566389719645,head_target_density1,neck_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-45.45453185478846,-66.68721979618071,-56.471155198415126,head_target_density1,neck_offset_mean_mm,20,released,8,1,primary_full_target_density1
-45.24243859926859,-63.788715217908226,-54.51362574895222,head_target_density1,neck_offset_mean_mm,20,released,8,4,primary_full_target_density1
-45.54131706873577,-63.43295130093892,-54.37241449356079,head_target_density1,neck_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,neck_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,neck_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,neck_offset_mean_mm,20,hard,384,8,primary_full_target_density1
-65.63130115032197,-90.23043656547864,-78.88679078420003,head_target_density1,neck_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
-62.87152997175853,-89.32264083703359,-76.97735252380372,head_target_density1,neck_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
-63.02229251146316,-88.5563104836146,-76.6454370498657,head_target_density1,neck_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
-70.32198579589524,-94.40338248411814,-83.60146177609762,head_target_density1,neck_offset_mean_mm,20,released,384,1,primary_full_target_density1
-68.18624923586844,-93.13714841445287,-81.36803234418234,head_target_density1,neck_offset_mean_mm,20,released,384,4,primary_full_target_density1
-69.25199575662614,-92.70825191140175,-81.5078371365865,head_target_density1,neck_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,neck_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,neck_offset_mean_mm,20,hard,8,4,primary_full_target_density1
