ci_high,ci_low,control_advantage_mean,control_variant,identity_count,method,metric,n_id,n_obs,reference_variant,region
1.3724384612676384,0.5191643387450458,0.9000926296329235,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,eyes
1.0735352253499513,-0.46056739885382575,0.2655533326332771,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,flame_supported
-1.9060186233990275,-3.40019925819619,-2.65048200020339,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,flame_unsupported
-1.1204960861252733,-2.6403305996472373,-1.9126836737389823,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,foreground
-0.15656816085195444,-1.8911878130477906,-1.0700027362232316,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,full_frame
1.1937931692330845,0.2180558584481045,0.7002356192952258,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,head_foreground
2.3296038918433646,1.2383904330472304,1.7717682324150232,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,head_supported
0.1960559086805299,-1.5378088468303839,-0.5138353482691522,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,head_unsupported
1.4069440007955387,0.6132700751308302,1.0031000998723099,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,oral
-2.1010524393615535,-4.152377118186451,-3.1470177336610083,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,torso_outside_head_roi
2.881653158121441,1.4354667032952473,2.138372805517008,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,background
1.8106866831150028,0.5575310012625286,1.1280691158296112,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,eyes
1.129161502236085,-0.2655475621152614,0.3946639719917012,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,flame_supported
-1.3771166000795048,-3.152392913995977,-2.2643898648396177,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,flame_unsupported
-0.7374998390679599,-2.3351762633310185,-1.5671722164216406,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,foreground
0.10736892626347402,-1.5796076901941096,-0.7889748761394137,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,full_frame
0.8912705701953937,0.15840636962624946,0.5174324748440772,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,head_foreground
1.806081086739858,1.048499212381808,1.4360382336612603,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,head_supported
-0.04368717446411706,-1.3768645786622777,-0.6438852188168342,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,head_unsupported
0.9406362279390398,0.4165996226383428,0.677772645928153,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,oral
-1.2606926989131384,-3.713177755034953,-2.5492472698238178,head_target_density1,20,released,masked_psnr,8,1,primary_full_target_density1,torso_outside_head_roi
3.247336830813319,1.4232885738742422,2.3030597218116977,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,background
2.07485888065677,0.750439254499286,1.3695965651614528,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,eyes
0.9797904841962196,-0.31368264551180997,0.30977756624787134,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,flame_supported
-1.7184893222933424,-3.098498776311265,-2.3967658518705917,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,flame_unsupported
