advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,training_seed,variant
-0.005101817677057698,-0.0023108313632822426,-0.007671792305220423,released,0.15,20,masked_mae,128,8,oral,0,primary_full_target_density1
0.3057226632760888,0.3698405393659549,0.23960105491356387,adaptive,1.0,20,masked_mae,128,8,torso_outside_head_roi,0,primary_full_target_density1
0.3146360332774482,0.3783043184006095,0.24747758767266145,released,1.0,20,masked_mae,128,8,torso_outside_head_roi,0,primary_full_target_density1
-0.02097554477077413,-0.013747884757026147,-0.029861984004221805,adaptive,0.1,20,masked_mae,384,1,background,0,primary_full_target_density1
-0.018866682850848093,-0.010709063895695248,-0.0292510742481417,released,0.15,20,masked_mae,384,1,background,0,primary_full_target_density1
0.002091238678627255,0.004830442572825933,-0.000471553194022634,adaptive,0.6,20,masked_mae,384,1,eyes,0,primary_full_target_density1
-8.006594076560362e-05,0.0029773849387694476,-0.0028727535312354628,released,0.4,20,masked_mae,384,1,eyes,0,primary_full_target_density1
-0.0021831627792015668,0.002675668364264188,-0.007091319323288177,adaptive,0.55,20,masked_mae,384,1,flame_supported,0,primary_full_target_density1
-0.0006624435042744479,0.0038242695807177616,-0.005418779316422216,released,0.5,20,masked_mae,384,1,flame_supported,0,primary_full_target_density1
0.3629759530896942,0.43666414709278906,0.28390954353455367,adaptive,1.0,20,masked_mae,384,1,flame_unsupported,0,primary_full_target_density1
0.37867614960723267,0.4523057975224793,0.3024629434479107,released,1.0,20,masked_mae,384,1,flame_unsupported,0,primary_full_target_density1
0.10725296146321923,0.13173009089346155,0.08129533293093896,adaptive,0.9,20,masked_mae,384,1,foreground,0,primary_full_target_density1
0.11267190996194743,0.13720082305364997,0.08652104949230321,released,0.95,20,masked_mae,384,1,foreground,0,primary_full_target_density1
0.05032694676479736,0.06566887486645412,0.03546553550151005,adaptive,0.9,20,masked_mae,384,1,full_frame,0,primary_full_target_density1
0.05432436510081932,0.0695888404886831,0.03990252348670971,released,1.0,20,masked_mae,384,1,full_frame,0,primary_full_target_density1
0.020570531729873595,0.03257149150884824,0.009696241684528439,adaptive,0.75,20,masked_mae,384,1,head_foreground,0,primary_full_target_density1
