fold,condition,radius_mm,camera_id,split,oral_psnr,oral_mae,supported_psnr,unsupported_psnr,head_psnr
fold_a,r200,200.0,222200037,train,37.724285717540795,0.009632352987925212,40.24498677714358,38.51488780818566,39.205224894795315
fold_a,r200,200.0,222200038,train,32.114108848363884,0.020953479155995488,33.71666819453645,35.54629911012112,34.68767089924797
fold_a,r200,200.0,222200047,train,39.207752414217126,0.00790803314100766,40.32456347027569,40.36647451417859,40.32507688666212
fold_a,r200,200.0,222200043,train,32.497191838327254,0.019489007044320154,35.90725678894534,36.46982401712128,36.19704161890452
fold_a,r200,200.0,222200049,heldout,26.841819132731665,0.040210538205847274,26.41020550065138,29.081512055165696,27.572505572053267
fold_a,r200,200.0,222200039,heldout,31.407915643086085,0.02151289405132757,24.14541924283615,28.60585200685383,26.415538406481524
fold_a,r200,200.0,222200045,train,36.09773074114043,0.011010559196146125,40.42239175581991,33.160365824667224,35.46026764559974
fold_a,r200,200.0,221501007,train,33.43062107615437,0.012679737408955892,40.95057404247582,36.717978522510165,38.34933044077513
fold_a,free,-1.0,222200042,train,33.878586519973304,0.012663400173187256,41.028976581578256,37.32814138800134,38.96740267880601
fold_a,free,-1.0,222200044,train,32.55944006829081,0.014428413139199311,40.33111921659546,37.1286902836528,38.12682753531441
fold_a,free,-1.0,222200046,heldout,25.77811005881399,0.04579185583652594,26.21452256970892,30.44330629998733,27.896302913957022
fold_a,free,-1.0,222200040,heldout,23.40169892336082,0.06264389202158938,23.11812290230174,26.7502031008297,24.961105058362225
fold_a,free,-1.0,222200036,train,39.09105513553495,0.008053383905015069,40.30567770242777,39.2444979235849,39.62553632902738
fold_a,free,-1.0,222200048,train,37.94300657150194,0.009411764599028087,38.42816555026751,39.04760440018527,38.79621752808258
fold_a,free,-1.0,220700191,train,38.43417476871486,0.00885109058824409,38.54064493565252,40.72866190820388,39.82070171999917
fold_a,free,-1.0,222200041,train,38.90527923749432,0.008509181794666108,39.44720682948783,38.78990216941989,39.078023972484665
fold_a,free,-1.0,222200037,train,37.71687699251577,0.009542484084765117,39.54583118457994,38.35543344464824,38.92484299275652
fold_a,free,-1.0,222200038,train,31.819285238821166,0.02165833641501034,33.941705609773564,35.62683889842163,34.77097424073618
fold_a,free,-1.0,222200047,train,39.65058747372442,0.0072776149632519304,40.31088331623285,40.35061068110234,40.33984919971538
fold_a,free,-1.0,222200043,train,32.95924551568372,0.01812636057535807,35.61931324766581,36.83317001805122,36.273798819481094
fold_a,free,-1.0,222200049,heldout,26.73600664048651,0.04105500696683,26.046957569740083,29.222927772745976,27.345479257878683
fold_a,free,-1.0,222200039,heldout,31.99257690780064,0.020215837838421805,24.076979704301866,28.260754397735077,26.252346341986474
fold_a,free,-1.0,222200045,train,36.03542337635342,0.011412771339090461,41.07452982358559,33.55889019705134,35.79800456049878
fold_a,free,-1.0,221501007,train,35.088771456702396,0.011058823267618815,41.485437564985226,36.25239876976803,38.04553401167455
fold_b,hard,0.0,222200042,train,27.278492642857096,0.02960784633954366,30.52134975134273,11.97309002014082,16.07141964281537
fold_b,hard,0.0,222200044,train,29.978409819536708,0.023393761436894256,23.32928418316936,12.711057920586965,15.286038179051113
fold_b,hard,0.0,222200046,train,33.5310819651768,0.016098543313833383,24.83181794055038,12.436653415228513,15.377218087880337
fold_b,hard,0.0,222200040,train,30.440048926552294,0.02205355449389386,22.4137671680742,13.616687286869343,15.431995580386781
fold_b,hard,0.0,222200036,heldout,32.28685929908829,0.019726677652283427,23.170961684822544,10.041362103006923,12.46392098631539
fold_b,hard,0.0,222200048,heldout,25.885497864972923,0.04256209237234933,21.38453116910547,12.180092777299398,13.789941908681648
fold_b,hard,0.0,220700191,train,34.875103231229104,0.01315851479649065,23.25945689552421,10.151639065038076,12.518218983792526
fold_b,hard,0.0,222200041,train,33.900947548881625,0.015269217415461464,21.470127733824597,12.00296346632947,13.665150725481912
fold_b,hard,0.0,222200037,train,36.996244849262666,0.010498364766438803,21.564095016138772,10.138600752795512,12.502406085379965
fold_b,hard,0.0,222200038,train,32.85416849250683,0.01722414353314568,20.428982186823244,13.694373805801776,15.31035693123889
fold_b,hard,0.0,222200047,heldout,30.30756878133134,0.022778470465477478,20.950481971801015,10.028636871113463,12.451226446125679
fold_b,hard,0.0,222200043,heldout,25.367253714745782,0.04724895592891809,21.3749538783855,12.149656000771776,14.199065814377057
fold_b,hard,0.0,222200049,train,33.182200584108344,0.015524321249452664,24.93547342295734,10.39085781366196,13.205971435386646
fold_b,hard,0.0,222200039,train,32.41344459180644,0.017064396417110158,22.754709010395118,12.193174325309641,14.565783798702565
fold_b,hard,0.0,222200045,train,31.390516943148757,0.01902128692366119,24.61338721415921,12.597276885845996,15.671255886503406
fold_b,hard,0.0,221501007,train,29.764397874891447,0.020169936815897623,29.397376571211527,11.11485668176525,14.903552847283352
