subject,sequence,stress_region,density_multiplier,gaussian_count,condition,mean_constraint,scale_cap_mm,supported_psnr,unsupported_psnr,head_psnr,supported_center_error_mm,unsupported_center_error_mm,axis_max_p90_mm,axis_fraction_at_cap,total_trainable_parameters,final_loss
443,FREE,free_motion_static_frame,4.0,20092,free_cap003,free,3.0,42.204845416985115,32.03707709629675,35.147229792630895,3.260529469035987,5.16769603044078,3.0,0.9308182361138762,200920,0.009967625141143799
443,FREE,free_motion_static_frame,4.0,20092,free_cap030,free,30.0,44.30750153955694,36.525965727204685,39.19070145203314,3.2083634071237603,5.60952773660426,6.7736328125,0.001493131594664543,200920,0.006529947277158499
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,0.25,1256,hard_cap003,hard,3.0,15.80123597097572,2.4517654845070096,6.122358832718131,4.547430178877848,36.184105644205296,3.0,1.0,12560,0.43586939573287964
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,0.25,1256,hard_cap030,hard,30.0,25.11969305104993,11.398196384303198,15.042721653266094,4.547430178877848,36.184105644205296,18.312987327575684,0.06369426751592357,12560,0.1104283407330513
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,0.25,1256,free_cap003,free,3.0,21.02493831183315,14.133074518358931,16.63884572672587,9.208536757600848,17.59136611569592,3.0,1.0,12560,0.1402062624692917
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,0.25,1256,free_cap030,free,30.0,35.47211176724666,32.61924905461005,33.89895825886942,6.888776006751876,12.322997211968072,15.127922058105469,0.0023885350318471337,12560,0.012781345285475254
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,1.0,5023,hard_cap003,hard,3.0,16.437184520165598,2.4527795219422215,6.1591564004452275,3.700784243602647,36.144622726399994,3.0,0.9651602627911606,50230,0.4253988265991211
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,1.0,5023,hard_cap030,hard,30.0,25.875642498404506,11.428740955664004,15.128082558858356,3.700784243602647,36.144622726399994,13.302008628845217,0.02408918972725463,50230,0.10609374195337296
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,1.0,5023,free_cap003,free,3.0,35.07708006936056,26.38867386144131,29.397773077272838,4.409459831670728,7.578156411837261,3.0,0.9874576946048178,50230,0.025317763909697533
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,1.0,5023,free_cap030,free,30.0,39.43713924241648,34.77027817693645,36.60196386991191,4.212320008814938,10.25333477520509,12.349766540527344,0.0069679474417678675,50230,0.00894754659384489
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,4.0,20092,hard_cap003,hard,3.0,21.94047820705333,2.5516243363020674,6.571645308092179,2.7928545771476996,35.79316057585993,3.0,0.9556042205853076,200920,0.3580515682697296
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,4.0,20092,hard_cap030,hard,30.0,26.67137740414411,15.790335640110353,18.71419299109104,2.7928545771476996,35.79316057585993,10.741761493682864,0.018614373880151303,200920,0.06431584805250168
