advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,seed_aggregation,seed_count,training_seed
6.269401516466591,7.4837402679754135,5.010409643516028,released,1.0,20,masked_psnr,128,4,flame_unsupported,paired effect averaged within identity across seeds,1,0
4.545467548513096,5.55716069379415,3.483180341837465,adaptive,0.95,20,masked_psnr,128,4,foreground,paired effect averaged within identity across seeds,1,0
4.8385639937734854,5.803825103671654,3.8333442123195876,released,1.0,20,masked_psnr,128,4,foreground,paired effect averaged within identity across seeds,1,0
2.7399296830248288,3.474271332648593,1.9928751333720855,adaptive,0.9,20,masked_psnr,128,4,full_frame,paired effect averaged within identity across seeds,1,0
2.9863891794230493,3.666248008330625,2.310238275615669,released,1.0,20,masked_psnr,128,4,full_frame,paired effect averaged within identity across seeds,1,0
-0.8609481871177422,-0.5473403490483719,-1.1916911679586315,adaptive,0.1,20,masked_psnr,128,4,oral,paired effect averaged within identity across seeds,1,0
-0.38261200930178685,-0.08931707787363367,-0.66290410772818,released,0.3,20,masked_psnr,128,4,oral,paired effect averaged within identity across seeds,1,0
-2.375414459172196,-0.874806537585778,-3.7266367708018264,adaptive,0.05,20,masked_psnr,128,8,background,paired effect averaged within identity across seeds,1,0
-2.0912595752980843,-0.39264431602904326,-3.5360793038730414,released,0.15,20,masked_psnr,128,8,background,paired effect averaged within identity across seeds,1,0
0.35415736805787484,0.8250891791530417,-0.10235461612200816,adaptive,0.65,20,masked_psnr,128,8,eyes,paired effect averaged within identity across seeds,1,0
0.13358670620414373,0.5049743893686316,-0.23881552258492936,released,0.45,20,masked_psnr,128,8,eyes,paired effect averaged within identity across seeds,1,0
-0.026672107822787082,0.5192247277367263,-0.5625261274248928,adaptive,0.45,20,masked_psnr,128,8,flame_supported,paired effect averaged within identity across seeds,1,0
0.04734324774264644,0.5560619516548516,-0.4489909973217596,released,0.45,20,masked_psnr,128,8,flame_supported,paired effect averaged within identity across seeds,1,0
6.1797179297058475,7.480156823558093,4.879605170764749,adaptive,1.0,20,masked_psnr,128,8,flame_unsupported,paired effect averaged within identity across seeds,1,0
6.377436063883515,7.5470665280348594,5.100340886990636,released,1.0,20,masked_psnr,128,8,flame_unsupported,paired effect averaged within identity across seeds,1,0
4.7441782658116125,5.7784951792514105,3.66217002978134,adaptive,1.0,20,masked_psnr,128,8,foreground,paired effect averaged within identity across seeds,1,0
4.952286622580672,5.926645802863332,3.938219601385543,released,1.0,20,masked_psnr,128,8,foreground,paired effect averaged within identity across seeds,1,0
