alpha_iou,alpha_mae,camera_count,lpips_alex_spatial,masked_mae,masked_mse,masked_psnr,method,n_id,n_obs,pixel_count_mean,region,seed,ssim,subject
0.0,0.05021723985139813,7,0.18961403554494713,0.041996979640086994,0.017150659814720755,17.826145709030964,adaptive,128,8,6157.714285714285,background,0,,060
0.8279001408081382,0.11434403753706388,14,0.2931071643705492,0.12707027057548623,0.059074094027151795,12.319932543955515,adaptive,128,1,11264.0,full_frame,0,0.5260220319032669,071
0.9238218141293942,0.057077408103006225,14,0.3724305790808754,0.1585844270953888,0.060997178843647734,12.272268886942854,adaptive,128,1,6050.357142857143,foreground,0,,071
0.9809651506157999,0.018545341212302446,14,0.350681178982666,0.11171082704890589,0.03080572938448749,15.153191568180116,adaptive,128,1,4315.0,flame_supported,0,,071
0.7664898619824925,0.03853206748941115,14,0.4216484747873877,0.28033930567034016,0.14141160629777275,8.8190835453981,adaptive,128,1,1735.357142857143,flame_unsupported,0,,071
0.990860020739855,0.00020613117651789383,14,0.3064426194382443,0.09943048279267074,0.017835011449083345,17.6523678318045,adaptive,128,1,257.07142857142856,oral,0,,071
1.0,1.0314903582704054e-05,14,0.2190525580974743,0.07820511296693541,0.010410122858980004,19.849273938080664,adaptive,128,1,78.64285714285714,eyes,0,,071
0.0,0.057266630099288056,14,0.19447503301498575,0.08340372127153035,0.05220656673828049,13.31642477874057,adaptive,128,1,5213.642857142857,background,0,,071
0.8376343124482013,0.11299916898662393,11,0.28746712109274114,0.13063856983972977,0.06591168973728317,11.838524854967897,adaptive,128,4,11264.0,full_frame,0,0.5198361358859322,071
0.9189069577542629,0.06358165361664513,11,0.3674694857591038,0.16323031962050386,0.06822647492354973,11.825313906387883,adaptive,128,4,6193.454545454545,foreground,0,,071
0.9833313816625022,0.01891490410674702,11,0.34196413997174036,0.1163514211976267,0.034628312097050626,14.653471476252026,adaptive,128,4,4409.545454545455,flame_supported,0,,071
0.743791101669272,0.04466674764725295,11,0.42174805318560615,0.2853550040005368,0.1578185690136048,8.436925579126166,adaptive,128,4,1783.909090909091,flame_unsupported,0,,071
0.9879585517006594,0.0002566553711486367,11,0.27145401577192635,0.08873672364449035,0.014255959058085606,18.57949267048657,adaptive,128,4,253.63636363636363,oral,0,,071
1.0,1.1044810001046493e-05,11,0.20413110046945687,0.0751580959738999,0.009470057838632905,20.30626994768292,adaptive,128,4,79.72727272727273,eyes,0,,071
0.0,0.04941751503131606,11,0.18311791001331593,0.08508035795828221,0.059109491933788554,12.629489643797735,adaptive,128,4,5070.545454545455,background,0,,071
0.8360873502208893,0.11406063501323972,7,0.28473468260331586,0.1321011343043604,0.06715061912288914,11.748359981893282,adaptive,128,8,11264.0,full_frame,0,0.5218892352921622,071
0.9188957026377328,0.06373932904430799,7,0.3661058084332832,0.16533099235378027,0.0697635287708684,11.7342437911619,adaptive,128,8,6169.857142857143,foreground,0,,071
0.9836663476281371,0.018611707325492586,7,0.33831618778524497,0.11911449970382856,0.036457225809264915,14.427364364592673,adaptive,128,8,4356.571428571428,flame_supported,0,,071
