subject,fold,condition,camera_id,region,psnr
422,fold_a,free,222200043,head,27.865217061032503
422,fold_a,free,221501007,head,25.73210754176373
422,fold_b,hard,222200040,supported,23.622083563027807
422,fold_b,hard,220700191,supported,25.557722998790897
422,fold_b,hard,222200047,supported,24.314136629907654
422,fold_b,hard,222200045,supported,21.68697812377618
422,fold_b,hard,222200040,unsupported,15.495787390245958
422,fold_b,hard,220700191,unsupported,10.618365975561431
422,fold_b,hard,222200047,unsupported,10.696815920225724
422,fold_b,hard,222200045,unsupported,15.570999264185863
422,fold_b,hard,222200040,head,19.418459897891744
422,fold_b,hard,220700191,head,15.026952586029012
422,fold_b,hard,222200047,head,15.059056588406008
422,fold_b,hard,222200045,head,18.766788517298558
422,fold_b,r075,222200040,supported,31.197481910954345
422,fold_b,r075,220700191,supported,31.718423736846276
422,fold_b,r075,222200047,supported,30.259735183715705
422,fold_b,r075,222200045,supported,26.218053794985536
422,fold_b,r075,222200040,unsupported,23.670185694007632
422,fold_b,r075,220700191,unsupported,23.865942457680866
422,fold_b,r075,222200047,unsupported,24.054019524928925
422,fold_b,r075,222200045,unsupported,21.60342054998005
422,fold_b,r075,222200040,head,26.876673484951155
422,fold_b,r075,220700191,head,27.080234709260203
422,fold_b,r075,222200047,head,26.82638402581697
422,fold_b,r075,222200045,head,23.73125516278079
422,fold_b,free,222200040,supported,31.857398020832797
422,fold_b,free,220700191,supported,31.55129562876644
422,fold_b,free,222200047,supported,30.796456631851832
422,fold_b,free,222200045,supported,27.11032840080966
422,fold_b,free,222200040,unsupported,26.152944399965968
422,fold_b,free,220700191,unsupported,26.357545666830397
422,fold_b,free,222200047,unsupported,26.466012033092895
422,fold_b,free,222200045,unsupported,17.89784258747395
422,fold_b,free,222200040,head,27.840560826782838
422,fold_b,free,220700191,head,28.545008432086654
422,fold_b,free,222200047,head,28.394521016732114
422,fold_b,free,222200045,head,21.80069538305109
422,fold_c,hard,222200044,supported,22.52181621477829
422,fold_c,hard,222200048,supported,24.2056851099346
422,fold_c,hard,222200038,supported,23.841894417002372
422,fold_c,hard,222200049,supported,25.87844872443721
422,fold_c,hard,222200044,unsupported,17.38328939590039
422,fold_c,hard,222200048,unsupported,15.838025904510424
422,fold_c,hard,222200038,unsupported,15.325870753768116
422,fold_c,hard,222200049,unsupported,10.93460450155618
422,fold_c,hard,222200044,head,20.0360886578763
422,fold_c,hard,222200048,head,19.432236998053405
422,fold_c,hard,222200038,head,19.33624017952091
422,fold_c,hard,222200049,head,15.429533918151034
422,fold_c,r075,222200044,supported,29.910633006766254
422,fold_c,r075,222200048,supported,32.126472744881006
422,fold_c,r075,222200038,supported,32.22904199866181
422,fold_c,r075,222200049,supported,31.344162081088708
422,fold_c,r075,222200044,unsupported,20.964092167538784
422,fold_c,r075,222200048,unsupported,23.19633428490595
422,fold_c,r075,222200038,unsupported,24.198292713472384
422,fold_c,r075,222200049,unsupported,24.103946398654305
422,fold_c,r075,222200044,head,25.02366092902112
422,fold_c,r075,222200048,head,26.912317015472716
422,fold_c,r075,222200038,head,27.908332748267238
422,fold_c,r075,222200049,head,26.974458865052547
422,fold_c,free,222200044,supported,29.575633582891804
422,fold_c,free,222200048,supported,32.65208918459051
